context,domain,block,n,prevalence,auroc,average_precision,brier,counts_auroc,delta_auroc_over_counts
isolated,safety,+coarse_timing,1594,0.9278544542032622,0.9366199253314519,0.9946135202996058,0.046431236272947526,0.9408060675544581,-0.004186142223006173
isolated,safety,+within_family_motifs,1594,0.9278544542032622,0.9334215245318517,0.9942659054826265,0.04696350494812933,0.9408060675544581,-0.007384543022606382
isolated,safety,+cross_family_motifs,1594,0.9278544542032622,0.9341682100126407,0.9944125526454757,0.04751589936095297,0.9408060675544581,-0.006637857541817338
isolated,safety,+all_motifs,1594,0.9278544542032622,0.9301584501866713,0.9936685581446656,0.04788895267062932,0.9408060675544581,-0.010647617367786744
isolated,security,metadata+length,2238,0.7064343163538874,0.7259763727752603,0.8513075720414948,0.17710688850853828,0.7734820937753016,-0.04750572100004136
isolated,security,+counts,2238,0.7064343163538874,0.7734820937753016,0.8815289671090003,0.16826419204653545,0.7734820937753016,0.0
isolated,security,+coarse_timing,2238,0.7064343163538874,0.7701472104528952,0.8795484644899773,0.1692090725475295,0.7734820937753016,-0.00333488332240639
isolated,security,+within_family_motifs,2238,0.7064343163538874,0.7750840700595061,0.8818812647705033,0.16818008486102773,0.7734820937753016,0.0016019762842044427
isolated,security,+cross_family_motifs,2238,0.7064343163538874,0.7759197163423723,0.8840969157213101,0.1682704683451992,0.7734820937753016,0.0024376225670706964
isolated,security,+all_motifs,2238,0.7064343163538874,0.7791159671017226,0.884641724363385,0.16757184346683074,0.7734820937753016,0.005633873326420957
