family,lower_model,higher_model,domain,metric,n_matched_prompts,mean_difference_higher_minus_lower,ci_lo,ci_hi
Qwen,qwen35_9b,qwen35_27b,planning,dialectical_amount,492,-0.03271486825414166,-0.040258194210536856,-0.025497354533175635
Qwen,qwen35_9b,qwen35_27b,planning,control_amount,492,-0.0014841558710810426,-0.0070739931295370675,0.0040253576737004
Qwen,qwen35_9b,qwen35_27b,planning,dialectical_centroid,492,0.007312387273795935,0.0009433376189079774,0.013364695903173018
Qwen,qwen35_9b,qwen35_27b,planning,control_centroid,492,0.022908975584710056,0.018139077227325492,0.028226712803776883
Qwen,qwen35_9b,qwen35_27b,planning,coupling_excess,492,0.0006669170802325572,-0.0016892795596779716,0.0032830435030632736
Qwen,qwen35_9b,qwen35_27b,moral,dialectical_amount,482,0.006622317364742943,-0.0017872703689016621,0.01474776080686635
Qwen,qwen35_9b,qwen35_27b,moral,control_amount,482,0.005250570125045561,-0.0015083855194781325,0.013727388585250001
Qwen,qwen35_9b,qwen35_27b,moral,dialectical_centroid,482,0.011525439860971307,0.005801869139060987,0.017350513258753687
Qwen,qwen35_9b,qwen35_27b,moral,control_centroid,482,0.013476074325795269,0.006270818741132438,0.021953493104945303
Qwen,qwen35_9b,qwen35_27b,moral,coupling_excess,482,0.002438353389286298,-0.0011368641629382035,0.006464010643056455
Qwen,qwen35_9b,qwen35_27b,idea,dialectical_amount,344,-0.011939562633261225,-0.02064032522020333,-0.0033991010993037647
Qwen,qwen35_9b,qwen35_27b,idea,control_amount,344,0.0072597880834936275,0.0004009991291941571,0.014349100712922728
Qwen,qwen35_9b,qwen35_27b,idea,dialectical_centroid,344,-0.0091013124998348,-0.013190356450442814,-0.004992019479269531
Qwen,qwen35_9b,qwen35_27b,idea,control_centroid,344,-0.005999313927048377,-0.011288739641170204,-0.0008526008405721043
Qwen,qwen35_9b,qwen35_27b,idea,coupling_excess,344,-0.008061565584430615,-0.010811523610906877,-0.00545560398036244
Qwen,qwen35_9b,qwen35_27b,safety,dialectical_amount,308,0.006215354099514558,-0.006812536400595305,0.019475472508409204
Qwen,qwen35_9b,qwen35_27b,safety,control_amount,308,-0.0012990016921873141,-0.01368320011783847,0.012814346924918537
Qwen,qwen35_9b,qwen35_27b,safety,dialectical_centroid,303,0.005533318641006206,-0.005797930732310765,0.016171092187080693
Qwen,qwen35_9b,qwen35_27b,safety,control_centroid,302,-0.0012630012316597328,-0.014076611121199553,0.013281333151425339
Qwen,qwen35_9b,qwen35_27b,safety,coupling_excess,308,0.005592465685004142,-0.00011539245028332603,0.011370509229985403
Qwen,qwen35_9b,qwen35_27b,security,dialectical_amount,302,-0.03720197072140567,-0.04888120074015746,-0.02559208692720543
Qwen,qwen35_9b,qwen35_27b,security,control_amount,302,0.004430724398182006,-0.005267172662451629,0.012935818453599769
Qwen,qwen35_9b,qwen35_27b,security,dialectical_centroid,302,0.007792169325720228,0.00038591670621326716,0.015510061650614112
Qwen,qwen35_9b,qwen35_27b,security,control_centroid,302,0.008828946070283589,-0.0002081882846440073,0.017838474588197716
Qwen,qwen35_9b,qwen35_27b,security,coupling_excess,302,-2.623210591436468e-06,-0.0038315757296683794,0.004084195621868039
Qwen,qwen35_9b,qwen35_27b,overall,dialectical_amount,2863,-0.01647798743645036,-0.01986644155794498,-0.013087041595740393
Qwen,qwen35_9b,qwen35_27b,overall,control_amount,2863,0.0033829142543672095,0.0002935223223084683,0.006179420032982994
Qwen,qwen35_9b,qwen35_27b,overall,dialectical_centroid,2855,0.004051777024339961,0.0014789112133806969,0.006651164361811308
