task_type,family,model_a,model_b,js_distance,correlation_distance,ci_low,ci_high,bootstrap_reps
planning,executive,qwen35_9b,qwen35_27b,0.041881562441801114,0.04944541218340581,0.03493656075707461,0.05381499380315615,200
moral,dialectical,reasoner,gemma4_e4b,0.21318042895258127,0.43076981017084603,0.1875699151716668,0.24243837475276794,200
moral,executive,reasoner,gemma4_e4b,0.1714550416307157,0.6709411879359868,0.1592940216615984,0.19304964310173034,200
moral,dialectical,reasoner,gemma4_31b,0.05715490025052654,0.07491942471409463,0.05137673186029646,0.07257885724536592,200
moral,executive,reasoner,gemma4_31b,0.30246017563931016,1.3343175244262682,0.28137954519451763,0.3303840073248384,200
moral,dialectical,reasoner,qwen35_4b,0.10319550086351839,0.3120293383088715,0.09534231143108453,0.11416662102695883,200
moral,executive,reasoner,qwen35_4b,0.14482544709597206,0.7738937173880274,0.12583770196399835,0.16653975615810024,200
moral,dialectical,reasoner,qwen35_9b,0.09730438048618131,0.2831972672154587,0.08871310689371102,0.10882363587362227,200
moral,executive,reasoner,qwen35_9b,0.15685997679864064,0.8428965479435333,0.14054491691450965,0.18011945770536847,200
moral,dialectical,reasoner,qwen35_27b,0.08286503590062455,0.20666374829080403,0.07641043647391507,0.09548441542643565,200
moral,executive,reasoner,qwen35_27b,0.17482365168990022,0.9169117811453313,0.15864414803616553,0.19343531504108377,200
moral,dialectical,gemma4_e4b,gemma4_31b,0.2253554688629104,0.5092370985282899,0.20539104654958754,0.2599124900480776,200
moral,executive,gemma4_e4b,gemma4_31b,0.26047649110142407,0.913418213716576,0.24493116800086986,0.2820399366634272,200
moral,dialectical,gemma4_e4b,qwen35_4b,0.2729637191392838,0.8642208737237145,0.24482983993060597,0.3060155160004605,200
moral,executive,gemma4_e4b,qwen35_4b,0.15130218889337416,0.9369000860709893,0.1460283303408771,0.1631385659384053,200
moral,dialectical,gemma4_e4b,qwen35_9b,0.2670265648711528,0.8212310501533049,0.23881881027083726,0.2990479002476801,200
moral,executive,gemma4_e4b,qwen35_9b,0.14656767824178632,0.8066383103410204,0.13996800684307992,0.15853100978175588,200
moral,dialectical,gemma4_e4b,qwen35_27b,0.260093987767647,0.7864640249468948,0.2340513052209138,0.2920260732529381,200
moral,executive,gemma4_e4b,qwen35_27b,0.14496375695100633,0.6695439175157201,0.13705357583872305,0.15778583449430986,200
moral,dialectical,gemma4_31b,qwen35_4b,0.11279011837891761,0.21688430092678823,0.10413039515025273,0.12757363394232082,200
moral,executive,gemma4_31b,qwen35_4b,0.17855177613249162,0.2665327067332097,0.15929171031333678,0.19944400410095972,200
moral,dialectical,gemma4_31b,qwen35_9b,0.10740745442171964,0.19550927686243258,0.0992171347724974,0.12042628113703882,200
moral,executive,gemma4_31b,qwen35_9b,0.16357545681161306,0.18861383881137805,0.14733542812228995,0.1870999373595145,200
moral,dialectical,gemma4_31b,qwen35_27b,0.09752146938138748,0.18256851738850532,0.08813540666207675,0.1091961188663296,200
moral,executive,gemma4_31b,qwen35_27b,0.1520911160274674,0.16559251635534078,0.13632924145208725,0.17304943812718684,200
moral,dialectical,qwen35_4b,qwen35_9b,0.025332750306298994,0.039118692713147274,0.022414111279002828,0.038077396490947074,200
moral,executive,qwen35_4b,qwen35_9b,0.032108180469319375,0.04780241614933489,0.027357464269394775,0.04984997086514681,200
moral,dialectical,qwen35_4b,qwen35_27b,0.04127045089863636,0.07470103218013457,0.03606903612197538,0.053773659179736526,200
moral,executive,qwen35_4b,qwen35_27b,0.06186971605862714,0.11943377402395605,0.052086244941880314,0.07804019062083419,200
moral,dialectical,qwen35_9b,qwen35_27b,0.03264403396525752,0.05384932794673791,0.027172831199160086,0.04759326159892552,200
moral,executive,qwen35_9b,qwen35_27b,0.0384637596582379,0.043791341702062,0.03296256043997629,0.05510922858407649,200
idea,dialectical,reasoner,gemma4_e4b,0.1895152968612512,0.2679863797227092,0.18394173021945975,0.19933777562168267,200
idea,executive,reasoner,gemma4_e4b,0.1824048828667181,0.3622399493530437,0.1740736454645963,0.196393413966499,200
idea,dialectical,reasoner,gemma4_31b,0.14947433174093022,0.24944377746368396,0.14253201021171746,0.15853817127903264,200
idea,executive,reasoner,gemma4_31b,0.2212907019564746,1.1142997689650735,0.2056529436993807,0.23945892576910519,200
idea,dialectical,reasoner,qwen35_4b,0.1308338449020856,0.9985577379305115,0.12429328077663993,0.13964939656132755,200
idea,executive,reasoner,qwen35_4b,0.10009290602991383,1.1647696669393728,0.08900865667549716,0.11873554706478254,200
idea,dialectical,reasoner,qwen35_9b,0.14359750074518254,1.3032102895971183,0.1364214333947795,0.1525597491025246,200
idea,executive,reasoner,qwen35_9b,0.07988498792712785,0.7893261610744565,0.0715649487736521,0.09679030815857415,200
idea,dialectical,reasoner,qwen35_27b,0.14161187956414684,1.1225979831218087,0.1341077815348819,0.1501329503464839,200
idea,executive,reasoner,qwen35_27b,0.08325656748418842,0.8133418607892633,0.0751184948578203,0.09834011684117244,200
idea,dialectical,gemma4_e4b,gemma4_31b,0.13976447133351919,0.1930090630698602,0.13144879386966452,0.14980464455483253,200
idea,executive,gemma4_e4b,gemma4_31b,0.22062873018537868,0.6459388098952121,0.21172016743801422,0.2336235663969051,200
idea,dialectical,gemma4_e4b,qwen35_4b,0.2851922461303028,1.4893411401852852,0.2785671820682913,0.293240061195922,200
