gen_model,model_label,task_type,domain,signature_family,layer,behavior,behavior_label,n_domain,shapley_gain,shapley_ci_low,shapley_ci_high,shapley_p_value,shapley_unit,direction_effect,direction_ci_low,direction_ci_high,direction_unit,shapley_q_value,supported
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,amount,backward_chaining,Backward chaining,498,-0.01854467484283534,-0.07647677147604562,0.011983219581700165,0.4985014985014985,bits per held-out trace,-0.04381590282412701,-0.15111085558181428,0.10980532076911728,standardized rate difference: domain minus other domains,0.5317349317349318,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,timing,verification,Verification,498,0.0068437620574471345,-0.007352577109995575,0.02098960244446659,0.1838161838161838,bits per held-out trace,0.03292079157443728,0.014926269202709456,0.05160953662924306,conditional timing centroid difference: positive means later,0.3137129537129537,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,timing,backtracking,Backtracking,498,0.0017929175583272818,-0.01738938813870297,0.01900281151914639,0.4275724275724276,bits per held-out trace,-0.05400992892488998,-0.08198787699638356,-0.02626934717071275,conditional timing centroid difference: positive means later,0.5642192858687705,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,timing,subgoal,Subgoal setting,498,0.01605797259209885,-0.016848108894051177,0.04348988094850172,0.15684315684315683,bits per held-out trace,-0.0380310212369504,-0.057684495343044775,-0.018652730148922377,conditional timing centroid difference: positive means later,0.281438187980244,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,timing,backward_chaining,Backward chaining,498,0.0056427650849427274,-0.007708560462838818,0.02152567494858189,0.23076923076923078,bits per held-out trace,-0.061532398411487,-0.16970704641124276,0.045911503309599117,conditional timing centroid difference: positive means later,0.3676986913501436,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,cognitive,amount,verification,Verification,154,0.0807489148676796,0.03807229272860642,0.12088823006238374,0.000999000999000999,bits per held-out trace,0.6770754971343167,0.5595691154605534,0.8018454663271556,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,code,Code,cognitive,amount,backtracking,Backtracking,154,0.11987115975730764,0.041760600428531254,0.18928862878141053,0.000999000999000999,bits per held-out trace,0.5023286076672965,0.39534311445480796,0.6168454033592735,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,code,Code,cognitive,amount,subgoal,Subgoal setting,154,0.30983954138161585,0.21225571485882672,0.4022090136021927,0.000999000999000999,bits per held-out trace,-0.18249737215287098,-0.24919550652245184,-0.10972908149171241,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,code,Code,cognitive,amount,backward_chaining,Backward chaining,154,0.02814230733842301,-0.0855205289948943,0.10983268661331187,0.31368631368631367,bits per held-out trace,-0.07159043450773256,-0.1739435568311319,0.05054073135063992,standardized rate difference: domain minus other domains,0.33931139283251954,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,cognitive,timing,verification,Verification,154,0.013123000711706842,-0.005380208967120279,0.03255003786096854,0.0989010989010989,bits per held-out trace,-0.0645141058272305,-0.08552003616348149,-0.04282255731303731,conditional timing centroid difference: positive means later,0.2098233258454253,False
