gen_model,family,profile,distance
reasoner,dialectical,amount,0.01136586217604283
reasoner,dialectical,amount,0.01918747237577103
reasoner,dialectical,amount,0.009373563153752993
reasoner,dialectical,amount,0.008291013283804357
reasoner,dialectical,amount,0.008298569519105008
reasoner,dialectical,amount,0.0060098444625720625
reasoner,dialectical,amount,0.01590045438807449
reasoner,dialectical,amount,0.007231993520835716
reasoner,dialectical,amount,0.011818022386650043
reasoner,dialectical,amount,0.0069207423979648
reasoner,dialectical,amount,0.02034938943059558
reasoner,dialectical,amount,0.012116827879163232
reasoner,dialectical,amount,0.006186657062681199
reasoner,dialectical,amount,0.019969475363325162
reasoner,dialectical,amount,0.032624802923143945
reasoner,dialectical,amount,0.010269330589472932
reasoner,dialectical,amount,0.03006590921082574
reasoner,dialectical,amount,0.006668760833344812
reasoner,dialectical,amount,0.022259114799140115
reasoner,dialectical,amount,0.0047033323452498835
reasoner,dialectical,amount,0.01315461679560997
reasoner,dialectical,amount,0.015063740053988252
reasoner,dialectical,amount,0.005217776803721052
reasoner,dialectical,amount,0.004653211309781663
reasoner,dialectical,amount,0.01751030318704801
reasoner,dialectical,amount,0.010351022191138435
reasoner,dialectical,amount,0.013782702542072957
reasoner,dialectical,amount,0.011910121546445577
reasoner,dialectical,amount,0.003987764531502252
reasoner,dialectical,amount,0.009513703498017766
reasoner,dialectical,amount,0.0036679309914369996
reasoner,dialectical,amount,0.015136494937611225
reasoner,dialectical,amount,0.013397924900512958
reasoner,dialectical,amount,0.006739411893776976
reasoner,dialectical,amount,0.012342615380965151
reasoner,dialectical,amount,0.018865300832589606
reasoner,dialectical,amount,0.005874296179072585
reasoner,dialectical,amount,0.028623888349482696
reasoner,dialectical,amount,0.011128624249011128
reasoner,dialectical,amount,0.0035419526876860736
reasoner,dialectical,amount,0.0070112248277245035
reasoner,dialectical,amount,0.015790306453775712
reasoner,dialectical,amount,0.006267459640451165
reasoner,dialectical,amount,0.01124729539908341
reasoner,dialectical,amount,0.0065401400478564565
reasoner,dialectical,amount,0.020140828622156905
reasoner,dialectical,amount,0.01399297688586873
reasoner,dialectical,amount,0.0037097240442483387
reasoner,dialectical,amount,0.01134502995752957
reasoner,dialectical,amount,0.010755200032524115
reasoner,dialectical,amount,0.014321199865006335
reasoner,dialectical,amount,0.019466228563084505
reasoner,dialectical,amount,0.00802844723942741
reasoner,dialectical,amount,0.004407259673044322
reasoner,dialectical,amount,0.005830444263920867
reasoner,dialectical,amount,0.009983609261696553
reasoner,dialectical,amount,0.007997790804494765
reasoner,dialectical,amount,0.013497623055928309
reasoner,dialectical,amount,0.00808175018193923
reasoner,dialectical,amount,0.007591508180744987
reasoner,dialectical,amount,0.01247407201634113
reasoner,dialectical,amount,0.020780989865183404
reasoner,dialectical,amount,0.02439488585652888
reasoner,dialectical,amount,0.00816859619385818
reasoner,dialectical,amount,0.0076621904723508695
reasoner,dialectical,amount,0.009128130013338932
reasoner,dialectical,amount,0.025042283306483858
reasoner,dialectical,amount,0.005624500422214278
reasoner,dialectical,amount,0.02712857998824788
reasoner,dialectical,amount,0.007669796963665141
reasoner,dialectical,amount,0.004590220433266928
reasoner,dialectical,amount,0.007306731920967767
