split,prefix,feature_set,feature,coef
random_trace,0.5,counts,task_type=planning,0.14610454258899
random_trace,0.5,counts,rate_backtracking,-0.12267874429924387
random_trace,0.5,counts,prefix_segments,-0.10237481386105607
random_trace,0.5,counts,difficulty_raw=progression_mcq,0.10151799328659897
random_trace,0.5,counts,difficulty_raw=4,0.09578917707290305
random_trace,0.5,counts,difficulty_raw=Chemistry,0.09530157522993586
random_trace,0.5,counts,difficulty_raw=landmarks_mcq,0.08880479324736326
random_trace,0.5,counts,difficulty_raw=Biology,0.08651369654241507
random_trace,0.5,temporal,rate_backtracking,0.6035611241143037
random_trace,0.5,temporal,rate_backward_chaining,0.5669245546906932
random_trace,0.5,temporal,task_type=math,-0.565646315613636
random_trace,0.5,temporal,gen_model=reasoner,0.453959410073989
random_trace,0.5,temporal,gen_model=qwen35_27b,0.42208122838552525
random_trace,0.5,temporal,gen_model=qwen35_9b,0.3640619969868849
random_trace,0.5,temporal,gen_model=qwen35_4b,0.3361343435274411
random_trace,0.5,temporal,rate_Perspective_Shift,0.32366074044396953
random_trace,0.5,temporal,task_type=idea,0.30393289203923074
random_trace,0.5,temporal,bin3_backtracking,-0.30079770002997747
random_trace,0.5,temporal,difficulty_raw=__missing__,0.2715596574656382
random_trace,0.5,temporal,bin2_backtracking,-0.26928711105600756
random_trace,0.5,temporal,task_type=gpqa,0.2664294197133033
random_trace,0.5,temporal,bin1_backward_chaining,-0.26496301063269756
random_trace,0.5,temporal,bin2_backward_chaining,-0.2638850732719047
random_trace,0.5,temporal,difficulty_raw=hard,-0.260523366948039
random_trace,0.5,temporal,difficulty_raw=Physics,0.22813702304285993
random_trace,0.5,temporal,bin3_backward_chaining,-0.21898559763660183
random_trace,0.5,temporal,bin1_backtracking,-0.217656815892286
random_trace,0.5,temporal,bin0_backtracking,-0.20197534934042946
random_trace,0.5,time_shuffled,task_type=math,-0.5725833198139578
random_trace,0.5,time_shuffled,gen_model=reasoner,0.44023092882341225
random_trace,0.5,time_shuffled,gen_model=qwen35_27b,0.42775167109687134
random_trace,0.5,time_shuffled,gen_model=qwen35_9b,0.37357898250917215
random_trace,0.5,time_shuffled,gen_model=qwen35_4b,0.34645594225509013
random_trace,0.5,time_shuffled,task_type=idea,0.30676276779280126
random_trace,0.5,time_shuffled,difficulty_raw=__missing__,0.2754821035184381
random_trace,0.5,time_shuffled,task_type=gpqa,0.26514793555566263
random_trace,0.5,time_shuffled,difficulty_raw=hard,-0.2594823318513957
random_trace,0.5,time_shuffled,difficulty_raw=Physics,0.22402067497314831
random_trace,0.5,time_shuffled,difficulty_raw=easy,0.15995850113233073
random_trace,0.5,time_shuffled,task_type=planning,0.14608863922567963
random_trace,0.5,time_shuffled,prefix_segments,-0.10234506161681757
random_trace,0.5,time_shuffled,difficulty_raw=progression_mcq,0.10151615004473215
random_trace,0.5,time_shuffled,difficulty_raw=4,0.09578212248148019
