gen_model,model_label,task_type,signature_family,high_n,low_n,incomplete_n,n,status,length_auroc,amount_auroc,full_auroc,amount_gain_bits,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain_bits,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,amount_q_value,timing_q_value,amount_supported,timing_supported
gemma4_e4b,Gemma 4 E4B,security,cognitive,288,184,0,472,estimated,0.6015813707729468,0.6826690821256038,0.6769701086956522,0.045436587331666826,0.013099873639007439,0.0809282145032263,0.006993006993006993,-0.010263335037370548,-0.03501722595672828,0.015061722283049257,0.7862137862137862,0.12027972027972027,1.0,False,False
qwen35_27b,Qwen3.5 27B,code,conversational,111,46,1,157,estimated,0.7894633764198982,0.8061104582843713,0.8012142577359969,-0.11172527532643335,-0.5142224050588464,0.14150269685809544,0.5214785214785215,-0.06857530425517784,-0.2354662878011399,0.0639259404531587,0.7772227772227772,0.90125560713796,1.0,False,False
qwen35_27b,Qwen3.5 27B,code,cognitive,111,46,1,157,estimated,0.7894633764198982,0.8603603603603603,0.8392087739913827,0.16864901971915539,0.0371967966662678,0.2970236621000454,0.012987012987012988,-0.037140960833735304,-0.11173764591434357,0.028972335036167772,0.8251748251748252,0.15955473098330245,1.0,False,False
qwen35_27b,Qwen3.5 27B,gpqa,conversational,381,102,1,483,estimated,0.656451031856312,0.7164067726828264,0.7028202357058309,0.04003890375332845,0.00686066986881859,0.0772914011172364,0.011988011988011988,-0.016240737740590153,-0.04344119254191799,0.010423537662919652,0.8941058941058941,0.15955473098330245,1.0,False,False
qwen35_27b,Qwen3.5 27B,gpqa,cognitive,381,102,1,483,estimated,0.656451031856312,0.7258504451649426,0.7278832792959704,0.0379743473387682,0.0019502717541371075,0.07137379724496949,0.017982017982017984,-0.00034600886866947785,-0.02530764471544297,0.023950337030401215,0.5094905094905094,0.18137418137418138,1.0,False,False
qwen35_27b,Qwen3.5 27B,idea,conversational,335,163,0,498,estimated,0.623972163721271,0.6501236150535665,0.6283490522845894,0.011696880883016847,-0.01234285486563707,0.03373494385685534,0.16683316683316685,-0.0218723501890592,-0.03712492266565309,-0.0049315465775271565,0.995004995004995,0.5313945313945315,1.0,False,False
qwen35_27b,Qwen3.5 27B,idea,cognitive,335,163,0,498,estimated,0.623972163721271,0.6098708909440528,0.5752586759454262,-0.00889661176925613,-0.021396078990971658,0.0032408749644949595,0.8971028971028971,-0.03897270800744951,-0.08023551670929338,-0.010217389868240213,0.997002997002997,1.0,1.0,False,False
qwen35_27b,Qwen3.5 27B,math,conversational,251,188,0,439,estimated,0.6107061117233195,0.5816097312876155,0.5712893108417394,-0.012650536758567409,-0.023260162675100574,-0.0029831305543799413,0.988011988011988,-0.01814459992603697,-0.0407744065807562,0.0050458112040085235,0.9310689310689311,1.0,1.0,False,False
qwen35_27b,Qwen3.5 27B,math,cognitive,251,188,0,439,estimated,0.6107061117233195,0.61093922183606,0.5891540222090362,0.0003885158257653729,-0.010240425231403342,0.011711367692508762,0.5344655344655345,-0.013065543358823843,-0.033983352711331134,0.007578736756156682,0.8821178821178821,0.90125560713796,1.0,False,False
qwen35_27b,Qwen3.5 27B,moral,conversational,250,247,0,497,estimated,0.562753036437247,0.5649392712550607,0.5656194331983806,-0.000871739093588273,-0.012674332460867601,0.011728583763086246,0.5294705294705294,-0.007865549736118395,-0.028176456154357536,0.012552951071178096,0.7682317682317682,0.90125560713796,1.0,False,False
qwen35_27b,Qwen3.5 27B,moral,cognitive,250,247,0,497,estimated,0.562753036437247,0.5448582995951416,0.5482267206477732,-0.007767598033195586,-0.02010169364614518,0.004606178185479557,0.8811188811188811,-0.041935139132643164,-0.09811244464958882,0.0005366305617706065,0.961038961038961,1.0,1.0,False,False
qwen35_27b,Qwen3.5 27B,planning,conversational,464,35,0,499,estimated,0.8104064039408867,0.8911945812807882,0.8927339901477832,0.05166642861166079,0.021273791650748084,0.08332771292222342,0.002997002997002997,0.004219957067221163,-0.017568813344825303,0.024782762271249686,0.3706293706293706,0.0859140859140859,1.0,False,False
qwen35_27b,Qwen3.5 27B,planning,cognitive,464,35,0,499,estimated,0.8104064039408867,0.8841133004926108,0.8956896551724138,0.04433198481993751,0.025230826690714983,0.06255335387278486,0.000999000999000999,0.01419244207652764,-0.019799393357553884,0.044484800117831375,0.20279720279720279,0.04295704295704296,1.0,True,False
qwen35_27b,Qwen3.5 27B,safety,conversational,313,0,0,313,insufficient_high_low_support,,,,,,,,,,,,,,False,False
qwen35_27b,Qwen3.5 27B,safety,cognitive,313,0,0,313,insufficient_high_low_support,,,,,,,,,,,,,,False,False
qwen35_27b,Qwen3.5 27B,security,conversational,372,83,1,455,estimated,0.589778468713564,0.6739214924212981,0.6778727814483742,0.024266504617969625,-0.0037982039838806176,0.050792155240791836,0.030969030969030968,0.0011977288746783262,-0.019863875859296894,0.02303426811849093,0.44955044955044954,0.24212151484878755,1.0,False,False
qwen35_27b,Qwen3.5 27B,security,cognitive,372,83,1,455,estimated,0.589778468713564,0.5348166860992356,0.6037375307682342,-0.023358985716954758,-0.043614146524812165,-0.0069399385031855745,0.994005994005994,0.011706966984912191,-0.02344575850486446,0.0442455100995587,0.25874125874125875,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,code,conversational,69,23,2,92,estimated,0.5595463137996219,0.5822306238185255,0.6483931947069943,-0.041708052569613,-0.16745739571168003,0.06998658383438393,0.7402597402597403,-0.06644943761622474,-0.2636894434097763,0.08938029125388869,0.7402597402597403,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,code,cognitive,69,23,2,92,estimated,0.5595463137996219,0.7309388783868935,0.725897920604915,0.04930946931879455,-0.06272881456074567,0.15507514653139162,0.21178821178821178,-0.014734269332079952,-0.12996380071366417,0.09971072918119901,0.5674325674325674,0.6041700235248623,1.0,False,False
qwen35_4b,Qwen3.5 4B,gpqa,conversational,251,65,5,316,estimated,0.49114311982837877,0.5420778424762489,0.45743181121667176,-0.005658249728992428,-0.028788024972253027,0.01634423790346574,0.7122877122877123,-0.05718519856959534,-0.08441592154808632,-0.0324024374371407,1.0,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,gpqa,cognitive,251,65,5,316,estimated,0.49114311982837877,0.5716212074777812,0.5415874961691695,0.003189221353089434,-0.02478978817894775,0.03150537622427803,0.4225774225774226,-0.022459943623163014,-0.04780243212165775,0.0020001909790402627,0.9690309690309691,0.8259467804922351,1.0,False,False
qwen35_4b,Qwen3.5 4B,idea,conversational,134,27,0,161,estimated,0.5110558319513543,0.44859038142620233,0.5085682697622996,-0.054459116878057004,-0.09999205643813242,-0.009304358031738298,0.99000999000999,-0.04437131512267083,-0.10210925312802571,0.006154602659251219,0.9430569430569431,1.0,1.0,False,False
